,date,open,close
708,2013-03-19,7.132,7.199
709,2013-03-20,7.176,7.735
710,2013-03-21,7.698,7.688
711,2013-03-22,7.685,7.711
712,2013-03-25,7.745,7.621
713,2013-03-26,7.564,7.413
714,2013-03-27,7.423,7.417
715,2013-03-28,7.032,6.704
716,2013-03-29,6.704,6.737
717,2013-04-01,6.764,6.827
718,2013-04-02,6.824,6.844
719,2013-04-03,6.884,6.847
720,2013-04-08,6.626,6.673
721,2013-04-09,6.693,6.677
722,2013-04-10,6.657,6.496
723,2013-04-11,6.56,6.499
724,2013-04-12,6.513,6.328
725,2013-04-15,6.342,6.215
726,2013-04-16,6.138,6.278
727,2013-04-17,6.262,6.191
728,2013-04-18,6.101,6.395
729,2013-04-19,6.362,6.777
730,2013-04-22,6.697,6.774
731,2013-04-23,6.807,6.389
732,2013-04-24,6.278,6.496
733,2013-04-25,6.362,6.305
734,2013-04-26,6.359,6.262
735,2013-05-02,6.228,6.332
736,2013-05-03,6.355,6.606
737,2013-05-06,6.643,6.801
738,2013-05-07,6.75,6.781
739,2013-05-08,6.814,6.824
740,2013-05-09,6.787,6.74
741,2013-05-10,6.697,6.76
742,2013-05-13,6.734,6.67
743,2013-05-14,6.67,6.459
744,2013-05-15,6.459,6.462
745,2013-05-16,6.432,6.801
746,2013-05-17,6.791,6.827
747,2013-05-20,6.858,7.025
748,2013-05-21,6.965,7.065
749,2013-05-22,7.065,7.085
750,2013-05-23,7.035,6.871
751,2013-05-24,6.881,6.928
752,2013-05-27,6.894,6.837
753,2013-05-28,6.837,7.233
754,2013-05-29,7.236,7.125
755,2013-05-30,7.105,7.099
756,2013-05-31,7.115,7.028
757,2013-06-03,7.008,7.002
758,2013-06-04,7.002,7.075
759,2013-06-05,7.035,6.968
760,2013-06-06,6.894,6.74
761,2013-06-07,6.74,6.539
762,2013-06-13,6.466,6.292
763,2013-06-14,6.362,6.382
764,2013-06-17,6.416,6.442
765,2013-06-18,6.513,6.606
766,2013-06-19,6.546,6.442
767,2013-06-20,6.448,6.043
768,2013-06-21,5.918,6.097
769,2013-06-24,6.005,5.486
770,2013-06-25,5.297,5.394
771,2013-06-26,5.405,5.275
772,2013-06-27,5.324,5.189
773,2013-06-28,5.135,5.389
774,2013-07-01,5.302,5.27
775,2013-07-02,5.286,5.189
776,2013-07-03,5.162,5.043
777,2013-07-04,4.983,5.065
778,2013-07-05,5.054,5.065
779,2013-07-08,4.962,4.859
780,2013-07-09,4.87,4.865
781,2013-07-10,4.87,5.081
782,2013-07-11,5.135,5.589
783,2013-07-12,5.675,5.589
784,2013-07-15,5.675,5.681
785,2013-07-16,5.594,5.61
786,2013-07-17,5.605,5.481
787,2013-07-18,5.448,5.308
788,2013-07-19,5.308,5.097
789,2013-07-22,4.989,5.092
790,2013-07-23,5.119,5.383
791,2013-07-24,5.292,5.275
792,2013-07-25,5.292,5.302
793,2013-07-26,5.248,5.21
794,2013-07-29,5.119,5.086
795,2013-07-30,5.135,5.232
796,2013-07-31,5.302,5.183
797,2013-08-01,5.264,5.362
798,2013-08-02,5.416,5.308
799,2013-08-05,5.308,5.373
800,2013-08-06,5.335,5.362
801,2013-08-07,5.34,5.367
802,2013-08-08,5.329,5.346
803,2013-08-09,5.389,5.324
804,2013-08-12,5.34,5.583
805,2013-08-13,5.573,5.675
806,2013-08-14,5.681,5.637
807,2013-08-15,5.632,5.513
808,2013-08-16,5.502,5.719
809,2013-08-19,5.524,5.832
810,2013-08-20,5.789,5.946
811,2013-08-21,5.929,5.897
812,2013-08-22,5.87,5.918
813,2013-08-23,5.918,5.74
814,2013-08-26,5.746,5.891
815,2013-08-27,5.886,5.881
816,2013-08-28,5.805,5.746
817,2013-08-29,5.837,5.751
818,2013-08-30,5.697,5.735
819,2013-09-02,5.805,5.81
820,2013-09-03,5.832,6.054
821,2013-09-04,6.032,5.989
822,2013-09-05,5.989,5.962
823,2013-09-09,6.097,6.556
824,2013-09-10,6.713,6.724
825,2013-09-11,6.702,6.859
826,2013-09-12,6.767,7.281
827,2013-09-13,7.151,7.14
828,2013-09-16,7.145,7.135
829,2013-09-17,7.108,6.913
830,2013-09-18,6.891,6.913
831,2013-09-23,6.918,6.962
832,2013-09-24,6.951,6.632
833,2013-09-25,6.583,6.502
834,2013-09-26,6.464,6.302
835,2013-09-27,6.286,6.432
836,2013-09-30,6.432,6.421
837,2013-10-08,6.421,6.6
838,2013-10-09,6.551,6.783
839,2013-10-10,6.81,6.637
840,2013-10-11,6.708,6.859
841,2013-10-14,6.81,6.751
842,2013-10-15,6.751,6.6
843,2013-10-16,6.567,6.491
844,2013-10-17,6.556,6.486
845,2013-10-18,6.491,6.594
846,2013-10-21,6.6,6.664
847,2013-10-22,6.637,6.513
848,2013-10-23,6.578,6.799
849,2013-10-24,6.816,7.027
850,2013-10-25,6.989,7.259
851,2013-10-28,7.243,7.097
852,2013-10-29,7.108,7.632
853,2013-10-30,7.567,7.783
854,2013-10-31,7.702,7.513
855,2013-11-01,7.502,7.497
856,2013-11-04,7.556,7.329
857,2013-11-05,7.189,7.383
858,2013-11-06,7.248,7.108
859,2013-11-07,7.14,7.172
860,2013-11-08,7.081,7.205
861,2013-11-11,7.205,7.243
862,2013-11-12,7.248,7.594
863,2013-11-13,7.497,7.205
864,2013-11-14,7.162,7.102
865,2013-11-15,7.124,7.221
866,2013-11-18,7.286,7.616
867,2013-11-19,7.589,7.47
868,2013-11-20,7.567,7.562
869,2013-11-21,7.497,7.535
870,2013-11-22,7.502,7.389
871,2013-11-25,7.243,7.297
872,2013-11-26,7.297,7.281
873,2013-11-27,7.248,7.335
874,2013-11-28,7.335,7.362
875,2013-11-29,7.459,7.351
876,2013-12-02,7.372,7.432
877,2013-12-03,7.394,7.318
878,2013-12-04,7.297,7.351
879,2013-12-05,7.34,7.259
880,2013-12-06,7.281,7.183
881,2013-12-09,7.189,7.129
882,2013-12-10,7.189,7.183
883,2013-12-11,7.135,6.94
884,2013-12-12,6.87,6.875
885,2013-12-13,6.854,6.783
886,2013-12-16,6.756,6.891
887,2013-12-17,6.913,6.875
888,2013-12-18,6.864,6.897
889,2013-12-19,6.908,6.756
890,2013-12-20,6.762,6.437
891,2013-12-23,6.443,6.459
892,2013-12-24,6.486,6.324
893,2013-12-25,6.324,6.335
894,2013-12-26,6.324,6.189
895,2013-12-27,6.194,6.351
896,2013-12-30,6.373,6.345
897,2013-12-31,6.34,6.621
898,2014-01-02,6.551,6.61
899,2014-01-03,6.567,6.448
900,2014-01-06,6.427,6.308
901,2014-01-07,6.232,6.286
902,2014-01-08,6.291,6.356
903,2014-01-09,6.318,6.389
904,2014-01-10,6.367,6.389
905,2014-01-13,6.378,6.27
906,2014-01-14,6.254,6.335
907,2014-01-15,6.324,6.308
908,2014-01-16,6.302,6.318
909,2014-01-17,6.281,6.205
910,2014-01-20,6.205,6.108
911,2014-01-21,6.118,6.14
912,2014-01-22,6.14,6.373
913,2014-01-23,6.362,6.324
914,2014-01-24,6.291,6.302
915,2014-01-27,6.248,6.156
916,2014-01-28,6.189,6.216
917,2014-01-29,6.237,6.248
918,2014-01-30,6.243,6.162
919,2014-02-07,6.118,6.151
920,2014-02-10,6.151,6.254
921,2014-02-11,6.232,6.486
922,2014-02-12,6.416,6.454
923,2014-02-13,6.394,6.605
924,2014-02-14,6.545,6.529
925,2014-02-17,6.54,6.47
926,2014-02-18,6.437,6.302
927,2014-02-19,6.275,6.486
928,2014-02-20,6.448,6.356
929,2014-02-21,6.389,6.27
930,2014-02-24,6.189,6.032
931,2014-02-25,6.037,5.956
932,2014-02-26,5.962,6.005
933,2014-02-27,6.027,6.075
934,2014-02-28,6.037,6.016
935,2014-03-03,5.956,5.967
936,2014-03-04,5.94,5.935
937,2014-03-05,5.886,5.783
938,2014-03-06,5.789,5.821
939,2014-03-07,5.81,5.837
940,2014-03-10,5.783,5.573
941,2014-03-11,5.573,5.535
942,2014-03-12,5.551,5.594
943,2014-03-13,5.664,5.708
944,2014-03-14,5.637,5.578
945,2014-03-17,5.627,5.659
946,2014-03-18,5.659,5.61
947,2014-03-19,5.594,5.535
948,2014-03-20,5.524,5.459
949,2014-03-21,5.443,5.832
950,2014-03-24,5.821,5.832
951,2014-03-25,5.821,5.729
952,2014-03-26,5.762,5.783
953,2014-03-27,5.751,5.821
954,2014-03-28,5.783,5.827
955,2014-03-31,5.864,5.821
956,2014-04-01,5.794,5.837
957,2014-04-02,5.832,5.897
958,2014-04-03,5.924,5.821
959,2014-04-04,5.783,5.832
960,2014-04-08,5.827,6.097
961,2014-04-09,6.091,6.048
962,2014-04-10,6.059,6.14
963,2014-04-11,6.129,6.162
964,2014-04-14,6.135,6.097
965,2014-04-15,6.059,5.929
966,2014-04-16,5.908,5.94
967,2014-04-17,5.956,5.891
968,2014-04-18,5.864,5.837
969,2014-04-21,5.81,5.778
970,2014-04-22,5.789,5.978
971,2014-04-23,5.989,6.097
972,2014-04-24,6.173,6.07
973,2014-04-25,6.07,6.081
974,2014-04-28,6.081,5.962
975,2014-04-29,5.956,6.032
976,2014-04-30,6.043,6.021
977,2014-05-05,6.0,5.94
978,2014-05-06,5.902,5.918
979,2014-05-07,5.897,5.864
980,2014-05-08,5.854,5.908
981,2014-05-09,5.908,5.973
982,2014-05-12,6.027,6.129
983,2014-05-13,6.124,6.07
984,2014-05-14,6.059,6.113
985,2014-05-15,6.108,6.048
986,2014-05-16,6.048,6.091
987,2014-05-19,6.091,6.091
988,2014-05-20,6.081,6.075
989,2014-05-21,6.054,6.124
